supplier_id,name,category,country,onboarded_date,years_in_business,tier,on_time_delivery_rate,avg_delivery_delay_days,defect_rate,order_volume_monthly,fulfillment_rate,return_rate,payment_delay_days,credit_score,debt_to_equity,current_ratio,revenue_growth_pct,cash_runway_months,complaints_last_90d,contract_renewal_rate,quality_audit_score,defaulted
HIST-01261,Summit Manufacturing 1261,Textiles,Mexico,2024-03-21,6.3,3,0.828,0.2,0.039,9597,0.966,0.0373,0.0,667,1.41,1.52,10.2,11.2,0,0.946,87.7,0
HIST-01262,Wayne Systems 1262,Electronics,India,2019-09-04,20.3,2,0.801,0.0,0.0285,2679,0.922,0.0882,15.0,763,0.92,2.11,7.7,12.0,3,0.955,91.4,0
HIST-01263,Gringotts Limited 1263,Raw Materials,Turkey,2021-10-29,17.9,1,0.859,3.0,0.0191,4092,0.88,0.0662,12.6,698,1.35,1.36,3.9,4.3,3,0.84,82.4,0
HIST-01264,Pym Limited 1264,Machinery,Brazil,2022-02-07,8.4,1,0.96,0.4,0.009,3886,1.0,0.0114,14.5,738,0.9,1.49,9.6,13.3,1,0.994,84.4,0
HIST-01265,Cortex International 1265,Food,Turkey,2021-01-13,17.8,2,0.842,10.6,0.0173,1626,0.926,0.0111,1.9,685,0.8,1.17,-1.8,9.0,5,0.826,90.4,0
HIST-01266,Pied Piper LLC 1266,Packaging,Poland,2019-06-14,9.1,1,0.898,1.2,0.0292,7177,0.839,0.1298,3.8,620,1.06,0.86,-8.7,5.8,4,0.814,74.5,0
HIST-01267,Bluth LLC 1267,Food,Mexico,2023-08-29,5.4,2,0.9,3.0,0.0159,2500,0.941,0.0266,14.0,672,0.65,1.25,5.3,17.8,1,0.935,85.0,0
HIST-01268,LexCorp Industries 1268,Machinery,China,2021-04-16,10.4,2,0.97,1.4,0.0256,25017,0.997,0.1194,5.3,762,0.11,1.64,7.5,7.1,2,0.975,90.8,0
HIST-01269,Cyberdyne International 1269,Machinery,Japan,2024-12-24,6.0,1,0.88,2.4,0.049,37375,0.901,0.0521,3.4,636,1.79,1.67,-0.9,9.1,2,0.823,79.6,0
HIST-01270,Dunder International 1270,Chemicals,Turkey,2021-03-01,18.7,3,0.851,3.1,0.0313,896,0.943,0.0287,2.6,729,0.28,2.29,9.3,14.0,1,0.854,79.8,0
HIST-01271,Planet Solutions 1271,Machinery,USA,2018-09-22,6.0,2,0.904,2.5,0.0351,1006,0.96,0.0555,5.6,705,1.96,0.78,6.8,5.0,2,0.89,87.5,0
HIST-01272,Cogswell Supply Co 1272,Raw Materials,Vietnam,2020-09-18,12.3,2,1.0,0.0,0.0109,874,0.963,0.0357,0.0,850,0.05,2.64,27.6,27.3,2,1.0,100.0,0
HIST-01273,Roxxon Corp 1273,Machinery,Japan,2018-02-22,22.0,2,0.813,4.2,0.0264,4579,0.919,0.0211,14.1,678,1.97,1.44,-1.8,6.8,4,0.553,76.3,0
HIST-01274,Massive Dynamic Holdings 1274,Machinery,Brazil,2022-10-19,10.0,2,0.893,1.2,0.0288,2724,0.972,0.0226,0.0,807,1.42,2.41,10.2,14.5,0,0.958,97.9,0
HIST-01275,Yutani Limited 1275,Food,USA,2024-07-28,5.9,2,0.951,0.3,0.0437,4898,0.862,0.0467,0.8,746,0.91,1.33,9.0,6.3,2,0.797,94.7,0
HIST-01276,Massive Dynamic Corp 1276,Chemicals,China,2023-03-12,19.4,2,0.837,4.5,0.0301,255,0.894,0.0387,28.0,702,0.81,1.95,10.1,8.7,2,0.878,86.9,0
HIST-01277,Wayne Systems 1277,Food,Poland,2024-08-14,14.4,2,0.932,3.0,0.0553,1932,0.863,0.0385,3.2,767,0.59,2.06,8.7,12.6,2,0.846,96.3,0
HIST-01278,Stark Logistics 1278,Machinery,China,2022-11-22,21.8,1,0.921,2.8,0.0,7985,0.989,0.0215,0.5,787,0.65,1.89,10.2,12.5,5,0.932,87.0,0
HIST-01279,LexCorp Partners 1279,Electronics,Poland,2022-01-29,9.8,2,0.951,0.0,0.0247,2084,0.983,0.0348,9.4,826,0.38,2.69,15.2,15.1,1,1.0,90.7,0
HIST-01280,Acme Supply Co 1280,Chemicals,Vietnam,2023-04-25,14.0,1,1.0,1.6,0.0531,4761,0.863,0.0768,1.5,686,0.62,1.24,15.5,7.3,0,0.842,98.4,0
HIST-01281,Roxxon Supply Co 1281,Logistics,India,2022-01-04,9.5,2,0.944,1.5,0.0379,3323,0.927,0.0432,16.9,647,0.67,1.16,-2.6,0.5,2,0.783,81.2,0
HIST-01282,Bugle Limited 1282,Logistics,Brazil,2021-05-18,15.2,3,0.74,3.5,0.0253,3106,0.87,0.1033,9.1,650,1.12,1.06,1.0,1.9,2,0.813,81.7,0
HIST-01283,Roxxon Supply Co 1283,Textiles,Vietnam,2018-07-29,11.0,3,0.785,6.1,0.0139,12399,0.949,0.0494,4.4,655,0.82,2.62,2.9,15.6,1,0.913,89.9,0
HIST-01284,Weyland Supply Co 1284,Machinery,Mexico,2022-04-05,7.9,3,0.676,7.0,0.0183,23193,0.911,0.041,1.7,724,1.08,1.57,8.2,10.8,1,0.983,92.4,0
HIST-01285,Gringotts Systems 1285,Raw Materials,China,2020-08-06,4.3,2,0.979,0.0,0.0426,6668,0.997,0.0814,0.0,761,0.68,2.29,6.7,11.8,0,0.876,85.7,0
HIST-01286,Pearson International 1286,Food,Brazil,2020-09-26,6.0,3,0.957,0.9,0.0293,1509,0.94,0.0273,4.7,808,0.41,1.53,4.4,11.0,1,0.913,96.1,0
HIST-01287,Hammer LLC 1287,Raw Materials,Turkey,2024-09-09,8.0,3,0.913,2.6,0.0399,48221,0.95,0.0763,6.8,812,0.69,1.96,14.8,18.7,1,0.98,90.9,0
HIST-01288,Initech Group 1288,Chemicals,USA,2024-12-04,14.0,2,0.933,4.5,0.0179,9304,0.986,0.0397,0.0,779,1.19,2.64,6.2,19.9,1,0.838,90.8,0
HIST-01289,Tyrell Partners 1289,Textiles,Germany,2023-12-18,14.6,2,0.931,1.1,0.0225,3568,0.837,0.0781,11.5,692,1.69,1.64,1.5,9.6,0,1.0,76.8,0
HIST-01290,LexCorp Solutions 1290,Electronics,Japan,2022-10-02,9.3,1,0.775,4.4,0.0159,876,0.868,0.0655,27.0,644,2.16,0.87,-6.3,1.0,3,0.782,68.2,1
HIST-01291,LexCorp Worldwide 1291,Packaging,India,2023-09-28,18.1,2,0.854,4.4,0.0188,6083,0.935,0.0631,4.9,599,2.4,1.1,8.9,0.5,8,0.684,70.4,0
HIST-01292,Aperture LLC 1292,Raw Materials,USA,2020-06-04,30.0,2,0.882,6.0,0.0317,1543,0.854,0.0574,11.1,576,2.4,0.83,3.1,4.1,8,0.613,77.8,1
HIST-01293,Hooli Partners 1293,Chemicals,India,2023-11-06,7.9,3,0.997,1.7,0.0177,1104,1.0,0.1141,0.0,803,0.97,2.15,12.8,11.2,1,0.839,86.3,0
HIST-01294,Krusty LLC 1294,Packaging,Poland,2023-12-22,16.5,1,0.904,5.0,0.0164,3377,0.874,0.0233,4.9,623,1.63,1.6,2.7,4.7,3,0.798,83.1,0
HIST-01295,Yutani Worldwide 1295,Machinery,Vietnam,2019-04-22,13.7,1,0.936,10.6,0.0265,2018,0.94,0.0268,0.0,761,0.05,2.29,8.0,18.3,2,0.939,91.2,0
HIST-01296,Hammer Corp 1296,Electronics,Vietnam,2020-09-27,13.1,2,0.884,0.0,0.0259,3575,0.905,0.0177,18.2,772,1.18,2.23,6.5,9.3,1,0.873,88.3,0
HIST-01297,Spacely International 1297,Chemicals,China,2019-09-08,11.2,2,0.906,0.0,0.0343,2287,0.94,0.1099,0.9,711,0.05,2.31,19.4,17.3,0,0.947,96.5,0
HIST-01298,Rand Partners 1298,Packaging,India,2023-05-11,1.6,2,1.0,1.0,0.0087,3396,0.944,0.0322,5.7,767,1.29,2.18,8.4,15.6,1,0.932,84.5,0
HIST-01299,Umbrella Manufacturing 1299,Logistics,Vietnam,2019-02-17,20.7,2,0.942,0.8,0.0511,4175,0.869,0.0368,14.0,656,0.92,1.37,4.2,4.5,2,0.631,79.6,0
HIST-01300,Stark Manufacturing 1300,Machinery,India,2023-11-13,2.0,1,0.891,10.3,0.0119,415,0.9,0.0213,10.5,616,1.64,1.36,10.3,3.3,3,0.917,78.2,0
HIST-01301,Hooli Manufacturing 1301,Electronics,Germany,2020-05-20,12.4,2,0.874,3.8,0.0253,2941,0.876,0.0218,0.3,692,0.87,1.65,2.9,7.5,1,0.672,75.1,0
HIST-01302,Stark Holdings 1302,Textiles,Mexico,2020-04-18,18.0,2,0.897,0.5,0.0163,509,0.925,0.01,6.7,802,1.15,1.36,0.5,10.5,0,0.805,76.8,0
HIST-01303,Umbrella Systems 1303,Textiles,Vietnam,2021-05-02,15.6,1,0.839,2.9,0.0624,7442,0.884,0.0455,3.1,626,0.71,1.73,0.1,3.2,7,1.0,72.4,0
HIST-01304,Daily Logistics 1304,Raw Materials,USA,2021-12-03,4.7,3,0.873,4.7,0.0946,3448,0.896,0.1234,5.5,703,0.36,2.15,8.2,11.5,5,0.857,92.0,0
HIST-01305,Bluth Worldwide 1305,Electronics,Poland,2022-03-09,4.1,2,0.984,0.0,0.0127,1964,0.968,0.0116,0.0,767,0.35,2.17,6.0,19.5,3,1.0,100.0,0
HIST-01306,Initech Limited 1306,Machinery,Japan,2024-08-11,11.4,2,0.814,2.7,0.0361,3908,0.845,0.0269,8.4,657,2.38,0.75,-2.6,0.7,3,0.657,73.3,0
HIST-01307,Globex Industries 1307,Chemicals,USA,2018-11-24,2.8,2,0.89,3.3,0.0313,3296,0.904,0.0621,1.6,760,1.18,1.74,2.6,6.8,0,0.909,78.8,0
HIST-01308,Wayne Tech Trading 1308,Machinery,Germany,2024-04-08,25.6,1,0.711,0.5,0.0151,651,0.88,0.0243,21.4,710,1.22,1.94,-1.5,1.3,6,0.782,78.2,0
HIST-01309,Queen Trading 1309,Packaging,China,2024-05-08,28.3,1,0.902,10.5,0.0105,1619,0.934,0.0557,8.5,707,0.67,1.46,7.0,10.2,1,0.952,87.5,0
HIST-01310,Genco Logistics 1310,Food,Vietnam,2022-07-31,9.5,3,0.803,15.4,0.0248,2023,0.982,0.04,3.0,722,0.77,1.85,-3.1,10.9,0,0.97,86.5,0
HIST-01311,Mifflin Holdings 1311,Logistics,Brazil,2021-01-17,9.2,2,0.772,1.2,0.0614,5915,0.984,0.1037,5.9,683,1.02,1.65,-9.3,7.4,6,0.74,85.4,0
HIST-01312,Soylent Worldwide 1312,Raw Materials,Germany,2019-08-23,12.1,2,1.0,1.7,0.0221,5071,0.917,0.0603,0.0,786,0.66,1.73,6.8,13.9,2,0.909,98.9,0
HIST-01313,Oscorp Solutions 1313,Packaging,Mexico,2021-06-03,35.1,2,0.765,6.6,0.0306,3629,0.878,0.0397,19.4,565,1.35,1.06,-12.2,0.5,3,0.889,59.8,1
HIST-01314,Rand Group 1314,Electronics,India,2020-07-26,5.0,2,0.918,0.0,0.0423,1615,0.93,0.0448,6.6,770,0.05,2.4,10.0,15.4,0,1.0,94.5,0
HIST-01315,LexCorp Supply Co 1315,Chemicals,Poland,2024-03-04,5.8,2,0.825,13.8,0.0214,932,0.909,0.0829,16.4,716,0.56,1.78,2.1,5.5,6,0.871,80.0,0
HIST-01316,Genco Corp 1316,Logistics,USA,2024-06-29,14.1,2,0.854,4.8,0.0454,4813,0.93,0.0421,5.8,643,0.95,2.72,13.6,11.4,0,0.977,84.9,0
HIST-01317,Summit Limited 1317,Food,India,2022-12-07,7.3,3,0.948,3.9,0.0989,9408,0.936,0.083,0.0,735,1.24,2.13,11.8,7.9,2,0.866,87.4,0
HIST-01318,Rand Limited 1318,Raw Materials,Germany,2021-06-18,18.5,1,0.665,1.7,0.0309,472,0.849,0.0196,18.8,510,1.55,0.2,-5.6,0.5,4,0.545,71.1,1
HIST-01319,Soylent Industries 1319,Raw Materials,Japan,2022-03-02,37.7,1,0.894,5.5,0.0201,964,0.968,0.0358,4.1,626,1.55,1.82,6.0,1.8,2,0.705,74.4,0
HIST-01320,Tyrell Supply Co 1320,Chemicals,China,2021-03-08,17.9,3,0.82,4.0,0.024,6464,0.936,0.0321,11.1,763,0.61,1.97,-6.9,7.3,0,0.759,93.4,0
HIST-01321,Vandelay Industries 1321,Textiles,Germany,2019-10-11,6.4,1,1.0,0.0,0.033,9059,0.928,0.0301,7.8,763,0.06,2.24,5.6,19.3,2,0.868,98.6,0
HIST-01322,Vandelay Group 1322,Textiles,Japan,2024-01-15,11.9,2,0.937,0.2,0.0355,6467,0.934,0.0193,18.2,724,0.67,1.27,14.2,9.8,1,0.796,88.6,0
HIST-01323,Compu Solutions 1323,Packaging,Vietnam,2023-08-12,8.9,2,0.891,2.2,0.0432,2121,0.925,0.122,12.1,626,0.31,1.59,16.8,10.6,1,0.865,92.3,0
HIST-01324,Pearson Manufacturing 1324,Logistics,Vietnam,2023-12-21,4.5,1,0.744,0.7,0.0345,1157,0.858,0.04,11.1,693,1.13,0.96,-7.3,0.5,2,0.641,73.2,0
HIST-01325,Mifflin Manufacturing 1325,Food,China,2020-02-28,16.8,2,0.991,0.0,0.0,12663,0.961,0.0203,6.6,749,0.05,2.32,17.3,17.0,1,0.885,98.5,0
HIST-01326,Vandelay Industries 1326,Chemicals,Vietnam,2022-06-20,24.4,2,1.0,0.0,0.0008,2307,1.0,0.0242,0.0,850,0.05,2.42,11.7,13.9,0,0.964,96.0,0
HIST-01327,Daily Systems 1327,Food,USA,2018-11-02,16.0,3,0.883,0.8,0.0385,599,0.851,0.0547,8.7,695,0.4,1.08,5.3,5.7,0,0.86,84.1,0
HIST-01328,Vortex Solutions 1328,Raw Materials,Japan,2022-11-21,31.2,2,0.845,0.1,0.02,4675,0.955,0.141,3.3,727,0.46,1.14,9.8,6.0,2,0.866,74.5,0
HIST-01329,Tyrell Systems 1329,Chemicals,Brazil,2020-12-25,5.7,2,0.829,0.9,0.0445,3585,0.917,0.0367,6.4,464,1.28,0.87,-4.9,0.5,8,0.662,65.0,1
HIST-01330,Wayne Trading 1330,Textiles,China,2019-11-24,9.5,2,0.871,1.6,0.0206,5258,0.854,0.0922,2.8,790,0.57,2.64,-1.3,16.3,2,0.992,96.8,0
HIST-01331,Wayne Manufacturing 1331,Electronics,Turkey,2019-09-13,3.6,3,0.992,0.0,0.0137,2632,1.0,0.0379,0.0,850,0.05,3.06,27.6,20.8,1,1.0,100.0,0
HIST-01332,Soylent Limited 1332,Machinery,Poland,2020-09-25,11.6,2,0.93,6.4,0.0404,4278,1.0,0.0263,0.2,775,0.89,1.67,7.8,16.0,0,0.893,91.7,0
HIST-01333,Daily Worldwide 1333,Raw Materials,Japan,2018-12-11,25.1,1,0.952,0.0,0.0433,11768,0.967,0.0269,0.0,826,0.05,1.84,26.7,16.4,1,1.0,84.4,0
HIST-01334,Dunder Worldwide 1334,Machinery,India,2020-10-03,10.6,2,0.841,0.0,0.0197,621,0.892,0.0357,3.4,718,0.67,2.01,3.3,8.9,0,0.841,90.6,0
HIST-01335,Cooper Limited 1335,Textiles,Brazil,2019-04-21,8.2,2,0.81,3.1,0.0478,2442,0.789,0.0834,6.2,568,0.87,0.6,-2.7,0.5,5,0.835,73.7,0
HIST-01336,Vertex Group 1336,Textiles,USA,2019-01-22,17.7,1,0.918,6.8,0.0012,26396,0.982,0.0251,0.0,763,0.09,2.3,8.2,10.9,0,1.0,94.0,0
HIST-01337,Wayne Tech Corp 1337,Chemicals,Turkey,2023-06-12,24.1,2,0.74,5.5,0.0136,1774,0.897,0.0181,4.0,552,1.23,1.08,-11.8,6.2,5,0.808,68.8,0
HIST-01338,Nakatomi Group 1338,Machinery,Germany,2018-03-02,12.5,2,0.924,1.2,0.0464,1338,0.83,0.0406,11.6,700,0.51,0.89,8.4,4.8,1,0.942,88.4,0
HIST-01339,Vandelay Systems 1339,Packaging,Germany,2019-02-23,10.2,3,0.847,2.1,0.0265,958,0.97,0.0194,0.0,735,0.32,2.12,9.3,5.1,0,0.918,89.0,0
HIST-01340,Gringotts Logistics 1340,Packaging,China,2019-02-24,24.5,3,0.856,11.5,0.0239,6144,0.856,0.0823,0.1,822,0.36,1.27,18.5,17.8,3,0.868,100.0,0
HIST-01341,Oscorp Worldwide 1341,Raw Materials,Turkey,2022-12-01,15.2,1,0.893,0.1,0.0224,13452,0.969,0.0387,2.9,670,0.85,1.56,1.4,15.9,0,1.0,88.1,0
HIST-01342,Wonka Group 1342,Chemicals,India,2018-09-17,25.6,2,0.917,7.2,0.0108,2464,0.923,0.0248,0.0,750,0.24,2.26,8.7,7.6,2,0.886,82.0,0
HIST-01343,Pinnacle Partners 1343,Machinery,India,2021-02-19,6.8,2,0.815,1.7,0.0203,3000,0.959,0.0988,10.5,637,2.02,0.9,-2.6,9.4,5,0.63,74.9,1
HIST-01344,Mifflin Manufacturing 1344,Electronics,Germany,2019-10-24,10.8,1,0.796,30.0,0.0197,4596,0.856,0.0171,29.0,645,1.44,1.03,-2.3,0.5,7,0.729,67.0,0
HIST-01345,Cogswell Limited 1345,Logistics,China,2020-03-16,7.0,3,0.861,0.6,0.0505,2947,0.945,0.0376,4.1,663,0.98,1.85,-1.2,12.1,1,0.769,91.8,0
HIST-01346,Tyrell Manufacturing 1346,Logistics,Vietnam,2020-11-08,3.1,2,0.845,0.5,0.0551,3826,0.831,0.0472,4.1,646,1.53,1.07,1.4,5.9,2,0.736,84.3,0
HIST-01347,Queen Logistics 1347,Machinery,Vietnam,2021-05-12,4.8,2,0.754,1.1,0.0412,7348,0.839,0.0645,8.1,591,2.14,0.81,-1.6,2.3,2,0.764,71.6,0
HIST-01348,Vortex LLC 1348,Packaging,Mexico,2023-03-21,15.8,3,0.715,2.2,0.0293,1915,0.855,0.0307,16.1,665,0.86,1.38,-6.7,0.5,2,0.833,75.3,1
HIST-01349,Hammer Industries 1349,Food,USA,2019-06-18,19.3,2,0.924,2.7,0.0265,3979,0.879,0.1154,7.0,656,1.5,1.34,10.4,0.5,2,0.739,81.7,0
HIST-01350,Cogswell Trading 1350,Raw Materials,Mexico,2020-01-07,8.9,1,0.793,10.3,0.0271,861,0.883,0.0303,8.7,549,3.23,0.79,-8.5,0.5,3,0.544,75.4,0
HIST-01351,Krusty Worldwide 1351,Food,Brazil,2024-11-16,7.9,3,0.846,4.4,0.02,1309,0.776,0.0581,4.5,633,0.85,0.8,-0.6,4.0,9,0.808,74.2,1
HIST-01352,Acme Corp 1352,Textiles,India,2023-11-05,25.0,3,0.796,1.6,0.0299,3414,0.761,0.0619,19.7,522,1.93,0.8,-13.4,0.5,4,0.575,71.6,1
HIST-01353,Queen Trading 1353,Chemicals,Poland,2021-01-16,6.5,1,0.907,9.9,0.0223,18335,0.935,0.0377,6.9,703,0.72,1.3,1.1,2.7,2,0.97,87.4,0
HIST-01354,Hooli International 1354,Packaging,Mexico,2020-10-18,15.8,3,0.848,0.2,0.0719,5335,0.945,0.052,6.0,736,0.99,1.48,13.0,15.4,2,0.968,78.6,0
HIST-01355,Apex Logistics 1355,Logistics,USA,2024-08-21,4.3,1,1.0,0.0,0.0093,2859,0.996,0.0178,4.4,821,0.36,2.78,17.1,19.5,1,0.986,93.8,0
HIST-01356,Zenith Supply Co 1356,Chemicals,Brazil,2023-07-23,2.9,2,0.759,1.0,0.0255,6819,0.802,0.1395,6.9,567,1.46,0.2,-8.6,0.5,6,0.661,72.8,1
HIST-01357,Daily Supply Co 1357,Raw Materials,Poland,2018-06-30,12.2,2,0.815,0.8,0.0491,2007,0.884,0.0558,9.0,623,1.41,1.31,-4.8,10.5,5,0.591,87.5,0
HIST-01358,Wonka International 1358,Packaging,USA,2023-11-19,10.1,3,0.839,10.5,0.0229,860,0.977,0.1179,13.1,726,1.91,2.05,8.7,9.1,1,0.868,93.5,0
HIST-01359,Pearson LLC 1359,Chemicals,Turkey,2019-09-06,6.7,3,0.822,6.9,0.0475,2366,0.913,0.0426,1.7,640,0.38,1.24,12.6,10.8,5,1.0,86.1,0
HIST-01360,Bluth Group 1360,Electronics,Vietnam,2019-12-19,3.2,1,0.83,3.3,0.0149,3533,0.906,0.021,11.1,695,0.99,0.87,8.9,7.3,5,0.691,75.7,0
HIST-01361,Vortex Systems 1361,Electronics,Brazil,2019-03-16,12.9,2,0.964,0.0,0.0112,14968,1.0,0.0564,0.0,850,0.07,2.61,11.0,8.4,1,1.0,100.0,0
HIST-01362,Vertex Solutions 1362,Textiles,Brazil,2020-04-06,5.7,3,0.751,0.5,0.0226,879,0.956,0.0694,1.3,774,1.89,1.19,3.5,1.9,1,0.946,81.2,0
HIST-01363,Rand Limited 1363,Food,Poland,2020-02-10,31.8,2,0.845,0.7,0.0712,5488,0.846,0.0702,22.2,581,1.52,1.08,-6.7,0.5,3,0.749,76.3,1
HIST-01364,Cyberdyne Solutions 1364,Raw Materials,USA,2021-03-06,15.4,1,0.856,0.8,0.0462,5351,0.847,0.0283,22.7,599,1.97,1.04,-8.1,0.5,6,0.677,73.1,0
HIST-01365,Cooper Systems 1365,Textiles,Mexico,2024-12-14,7.1,2,0.901,6.8,0.0183,2383,0.911,0.0221,0.0,677,1.85,1.94,11.6,6.2,2,0.858,88.4,0
HIST-01366,Cogswell Corp 1366,Logistics,Vietnam,2023-01-03,4.5,1,0.882,2.0,0.0165,983,0.984,0.0377,18.2,691,1.87,1.62,14.0,8.1,1,0.879,90.0,0
HIST-01367,Daily Supply Co 1367,Textiles,Japan,2024-12-09,10.4,1,0.909,1.5,0.0371,4992,0.835,0.0459,10.4,611,1.44,0.2,-9.0,0.5,5,0.87,76.5,0
HIST-01368,Cyberdyne Solutions 1368,Food,Mexico,2018-09-05,6.5,3,0.911,6.4,0.0536,8251,0.887,0.1208,18.4,642,0.8,1.54,-4.3,1.8,2,0.7,70.5,0
HIST-01369,Stark Holdings 1369,Raw Materials,India,2020-10-22,4.0,3,0.861,5.0,0.0126,2401,1.0,0.033,13.6,661,0.4,2.12,12.7,10.7,1,0.887,84.6,0
HIST-01370,Pied Piper International 1370,Logistics,Mexico,2024-09-08,16.5,3,0.825,1.5,0.0136,9106,0.921,0.0388,0.6,756,0.47,2.5,2.0,16.9,0,0.846,87.8,0
HIST-01371,Planet Industries 1371,Raw Materials,Mexico,2022-03-10,6.0,1,0.908,4.7,0.0172,11289,0.884,0.0938,30.4,669,1.21,0.7,8.5,6.8,1,0.682,75.3,0
HIST-01372,Aperture Supply Co 1372,Packaging,Mexico,2018-06-13,15.7,2,0.89,1.4,0.0184,18108,0.854,0.0319,0.0,800,0.65,2.49,4.2,6.4,1,0.865,94.0,0
HIST-01373,LexCorp International 1373,Textiles,Japan,2018-02-20,7.1,2,0.909,6.8,0.0097,2168,1.0,0.0278,9.6,705,0.26,2.03,12.6,11.0,1,0.802,81.8,0
HIST-01374,Weyland International 1374,Logistics,Brazil,2019-04-26,13.9,2,0.821,2.2,0.0532,885,0.809,0.1201,6.6,542,1.81,1.04,-12.2,2.6,6,0.585,67.9,1
HIST-01375,Weyland Limited 1375,Textiles,India,2023-01-29,12.9,2,0.776,1.0,0.0201,6104,0.893,0.0281,11.7,634,1.55,1.09,8.6,11.7,3,0.722,77.4,0
HIST-01376,Pym Trading 1376,Raw Materials,Vietnam,2024-09-28,21.7,2,0.935,0.6,0.0342,2046,0.93,0.0413,25.3,727,1.35,2.25,3.0,13.5,0,0.972,83.5,0
HIST-01377,Sterling Manufacturing 1377,Raw Materials,Mexico,2019-09-23,19.0,3,0.751,0.9,0.0214,196,0.891,0.0261,3.0,664,1.23,1.36,1.9,2.9,4,0.824,76.8,0
HIST-01378,Bugle Trading 1378,Food,Japan,2020-06-11,5.3,2,0.691,16.3,0.0345,1533,0.775,0.036,9.0,480,2.32,0.63,-11.9,0.5,7,0.515,68.8,1
HIST-01379,Genco Worldwide 1379,Logistics,China,2019-11-14,19.3,2,0.835,1.8,0.0206,1048,0.974,0.059,12.8,679,1.01,0.9,3.7,8.0,2,0.992,82.0,0
HIST-01380,LexCorp Limited 1380,Electronics,China,2019-08-18,33.9,2,0.996,0.7,0.0016,6085,0.967,0.0148,0.0,795,0.59,1.98,3.3,17.9,0,0.911,87.2,0
HIST-01381,Soylent Solutions 1381,Machinery,India,2018-07-13,5.6,2,0.913,0.0,0.0185,7701,0.974,0.1241,5.9,850,0.72,1.55,9.6,14.3,0,1.0,97.1,0
HIST-01382,Pearson Limited 1382,Packaging,Vietnam,2020-06-20,17.8,2,0.79,4.1,0.0266,1796,0.861,0.0605,10.6,476,2.01,0.2,-0.9,0.5,2,0.707,76.3,1
HIST-01383,Pearson Partners 1383,Chemicals,China,2018-10-15,10.3,3,0.917,0.0,0.0128,1934,1.0,0.0137,10.5,850,0.05,3.08,28.7,15.8,1,1.0,98.9,0
HIST-01384,Cogswell Worldwide 1384,Chemicals,India,2024-11-24,14.3,3,0.822,9.5,0.0424,8049,0.832,0.0508,8.8,625,1.98,0.31,2.9,0.5,4,0.654,76.7,0
HIST-01385,Mifflin International 1385,Electronics,Vietnam,2020-09-17,49.7,1,0.968,0.0,0.0557,2161,0.955,0.034,2.5,752,0.05,1.01,10.7,11.2,0,0.878,88.7,0
HIST-01386,Daily Logistics 1386,Chemicals,Mexico,2020-06-09,5.0,3,0.972,0.4,0.0102,4443,0.936,0.0359,17.2,783,0.7,2.64,7.5,9.7,0,0.923,99.6,0
HIST-01387,Nakatomi Systems 1387,Raw Materials,Mexico,2022-04-21,11.7,2,0.931,3.6,0.0074,6309,1.0,0.0148,0.0,782,0.37,1.91,17.8,16.8,1,0.925,89.8,0
HIST-01388,Wonka Holdings 1388,Chemicals,Mexico,2019-10-07,4.6,2,0.879,1.8,0.054,3501,0.895,0.0441,0.3,680,0.69,1.33,2.1,10.1,1,0.934,93.7,0
HIST-01389,Planet Partners 1389,Raw Materials,Poland,2024-05-17,9.6,2,0.703,1.9,0.0161,1388,0.801,0.0464,15.2,663,2.43,1.56,2.5,2.0,6,0.697,72.2,0
HIST-01390,Aperture Group 1390,Raw Materials,Vietnam,2022-04-21,20.1,3,0.892,1.5,0.0363,22831,0.915,0.0254,0.3,714,0.44,1.76,7.7,8.6,0,0.917,92.1,0
HIST-01391,Cogswell Manufacturing 1391,Packaging,Turkey,2021-01-16,10.9,2,0.883,0.5,0.0285,823,0.847,0.0543,13.0,703,1.02,1.44,-6.7,5.1,4,0.675,86.6,0
HIST-01392,Umbrella Industries 1392,Chemicals,India,2019-08-19,5.1,3,0.727,2.7,0.0487,869,0.795,0.0269,8.5,528,2.37,0.2,-8.0,0.5,10,0.688,69.5,1
HIST-01393,Mifflin Solutions 1393,Chemicals,Brazil,2024-06-18,20.9,1,1.0,0.0,0.0018,3871,1.0,0.0604,0.0,850,0.05,2.52,26.6,26.3,1,1.0,96.4,0
HIST-01394,Roxxon International 1394,Machinery,Brazil,2021-01-16,14.9,2,0.94,0.6,0.0301,5338,0.868,0.1033,14.2,688,0.6,2.07,1.7,15.0,3,0.863,80.8,0
HIST-01395,Nakatomi Limited 1395,Packaging,Germany,2019-09-25,6.0,1,1.0,0.0,0.0133,1060,0.991,0.0594,0.2,806,0.87,3.07,17.9,16.9,2,1.0,93.2,0
HIST-01396,Aperture Supply Co 1396,Textiles,Mexico,2020-10-17,15.5,2,0.773,0.8,0.0231,2013,0.862,0.0693,6.4,646,0.86,1.3,-5.9,2.9,4,0.665,77.1,0
HIST-01397,Black Mesa Manufacturing 1397,Chemicals,Vietnam,2024-01-27,2.4,2,0.941,3.3,0.0184,1796,1.0,0.0557,6.7,777,0.15,2.19,21.7,11.1,2,1.0,95.0,0
HIST-01398,Vortex Systems 1398,Chemicals,USA,2023-02-04,12.5,2,0.976,0.0,0.0094,1883,0.892,0.0553,0.0,812,0.05,2.15,21.5,13.7,2,1.0,100.0,0
